0,91,885,310,117,103
0,95,1160,244,213,258
0,97,439,335,502,172
0,98,1046,352,229,106
0,100,-159,377,371,138
0,101,46,515,146,254
1,91,885,310,117,103
1,95,1135,240,217,263
1,97,396,334,506,174
1,98,994,351,231,107
1,100,-228,380,366,135
1,101,54,506,156,271
2,91,885,310,117,103
2,95,1110,235,221,268
2,97,353,334,511,175
2,98,943,351,232,107
2,100,-297,382,361,134
2,101,62,497,165,287
2,102,1485,490,358,236
2,103,921,288,103,87
2,104,75,402,351,125
2,105,358,439,403,178
3,91,885,310,117,103
3,95,1085,230,226,274
3,97,310,333,515,177
3,98,891,350,235,109
3,100,-366,385,358,132
3,101,70,488,175,303
3,102,1418,484,376,242
3,103,920,289,104,88
3,104,1,397,346,124
3,105,274,435,398,176
4,91,885,310,117,103
4,95,1060,226,230,278
4,97,267,332,520,179
4,98,839,349,237,110
4,100,-435,388,353,130
4,101,78,479,184,320
4,102,1318,477,385,241
4,103,920,290,104,88
4,104,-43,394,331,120
4,105,191,428,392,174
5,91,885,310,117,103
5,95,1035,221,234,284
5,97,224,332,524,180
5,98,787,349,239,110
5,100,-504,390,348,129
5,101,86,470,194,336
5,102,1205,468,400,242
5,103,916,286,111,94
5,104,-74,392,311,116
5,105,111,424,380,169
6,91,885,310,117,103
6,95,1010,216,238,289
6,97,181,331,528,181
6,98,736,348,241,111
6,100,-573,393,343,127
6,101,95,461,202,352
6,102,1091,458,409,240
6,103,915,286,113,96
6,104,-102,388,291,112
6,105,30,419,376,167
7,91,885,310,117,103
7,95,985,212,243,294
7,97,138,330,533,183
7,98,684,347,243,113
7,100,-642,395,339,125
7,101,103,452,212,368
7,102,977,450,418,238
7,103,916,286,112,96
7,104,-146,385,284,110
7,105,-28,415,362,162
7,107,1734,486,137,161
7,108,946,212,91,84
8,91,885,310,118,103
8,95,960,207,247,300
8,97,95,330,537,184
8,98,632,347,245,113
8,100,-711,398,334,123
8,101,111,443,221,385
8,102,865,443,421,231
8,103,916,287,112,96
8,104,-190,381,278,108
8,105,-68,409,347,160
8,107,1686,475,157,177
8,108,947,213,90,82
9,91,885,310,118,103
9,95,935,202,251,305
9,97,52,329,541,186
9,98,580,346,248,114
9,100,-780,400,329,122
9,101,119,434,231,401
9,102,756,439,423,224
9,103,915,287,114,98
9,104,-234,378,272,105
9,105,-101,402,332,160
9,107,1637,471,173,181
9,108,948,214,88,80
10,91,885,310,118,103
10,97,9,328,546,188
10,98,528,345,250,116
10,100,-849,403,324,120
10,101,127,425,240,417
